Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,9.168214,9.213214,8.928928,8.983214,7.749377,739452000
2010-07-01,9.082143,9.100000,8.686429,8.874286,7.655411,1022896000
2010-07-02,8.946072,8.961785,8.685715,8.819285,7.607966,693842800
2010-07-06,8.964286,9.028571,8.791429,8.879642,7.660032,615235600
2010-07-07,8.946072,9.241786,8.919642,9.238214,7.969353,654556000
2010-07-08,9.374286,9.389286,9.103214,9.217500,7.951481,738144400
2010-07-09,9.174643,9.282143,9.112857,9.272142,7.998621,433322400
2010-07-12,9.233214,9.351786,9.102143,9.188929,7.926835,562878400
2010-07-13,9.154285,9.157143,8.801071,8.992857,7.757697,1190924000
2010-07-14,8.906428,9.135715,8.892858,9.026072,7.786348,812047600
2010-07-15,8.865357,9.177500,8.832143,8.980357,7.746913,824866000
2010-07-16,9.042143,9.106071,8.871786,8.925000,7.699159,1039858400
2010-07-19,8.924286,8.924286,8.557143,8.770715,7.566065,1024478000
2010-07-20,8.675000,9.032143,8.571786,8.996072,7.760469,1074950800
2010-07-21,9.467500,9.469643,9.071428,9.080000,7.832872,1185671200
2010-07-22,9.202857,9.285714,9.118215,9.250714,7.980138,645318800
2010-07-23,9.181786,9.299286,9.152857,9.283571,8.008484,533388800
2010-07-26,9.285714,9.289286,9.203929,9.260000,7.988145,420551600
2010-07-27,9.316786,9.457143,9.296429,9.431429,8.136029,584771600
2010-07-28,9.416785,9.499643,9.294642,9.320000,8.039905,519985200
2010-07-29,9.311071,9.380357,9.146428,9.218214,7.952102,643806800
2010-07-30,9.138928,9.275000,9.103572,9.187500,7.925606,448210000
2010-08-02,9.301429,9.378214,9.272142,9.351786,8.067326,428055600
2010-08-03,9.321786,9.402143,9.265000,9.354643,8.069789,417653600
2010-08-04,9.387143,9.438571,9.296785,9.392143,8.102140,420375200
2010-08-05,9.347500,9.399285,9.305357,9.346429,8.062707,289097200
2010-08-06,9.277857,9.338928,9.201072,9.288929,8.013102,444897600
2010-08-09,9.338572,9.362500,9.270357,9.348214,8.064244,303128000
2010-08-10,9.280357,9.301785,9.198215,9.264643,7.992152,451920000
2010-08-11,9.121428,9.131785,8.921785,8.935357,7.708094,620054400
2010-08-12,8.810357,9.039286,8.790000,8.992500,7.757390,534920400
2010-08-13,8.987500,8.995714,8.896071,8.896428,7.674512,354869200
2010-08-16,8.842143,8.928928,8.807858,8.844286,7.629534,318430000
2010-08-17,8.931429,9.093928,8.900000,8.998929,7.762935,422640400
2010-08-18,9.012857,9.095357,8.985000,9.038215,7.796822,339696000
2010-08-19,9.030000,9.052857,8.881429,8.924286,7.698544,426706000
2010-08-20,8.906786,9.068571,8.892858,8.915714,7.691150,384230000
2010-08-23,8.992500,9.000000,8.758928,8.778571,7.572841,414041600
2010-08-24,8.666785,8.678572,8.523214,8.568929,7.391994,602565600
2010-08-25,8.501429,8.713928,8.471429,8.674643,7.483189,596867600
2010-08-26,8.766071,8.776786,8.581429,8.581429,7.402776,466505200
2010-08-27,8.633928,8.664643,8.412857,8.629286,7.444060,548391200
2010-08-30,8.598572,8.776786,8.595715,8.660714,7.471172,383289200
2010-08-31,8.637500,8.734285,8.583928,8.682143,7.489662,420786800
2010-09-01,8.838214,8.980714,8.795714,8.940357,7.712407,697037600
2010-09-02,8.973572,9.006071,8.877500,9.006071,7.769096,415427600
2010-09-03,9.110357,9.242143,9.089286,9.241786,7.972434,520788800
2010-09-07,9.165714,9.268929,9.151786,9.207500,7.942861,342557600
2010-09-08,9.277857,9.442500,9.253572,9.390000,8.100291,526551200
2010-09-09,9.465714,9.518572,9.390000,9.395357,8.104913,438575200
2010-09-10,9.399643,9.446428,9.335714,9.407500,8.115389,387542400
2010-09-13,9.493571,9.581429,9.491428,9.537143,8.227223,388780000
2010-09-14,9.507500,9.613214,9.482857,9.573571,8.258652,408150400
2010-09-15,9.577500,9.656428,9.565714,9.650714,8.325194,429368800
2010-09-16,9.651428,9.881071,9.625000,9.877500,8.520831,652103200
2010-09-17,9.917500,9.927143,9.774285,9.834642,8.483864,634477200
2010-09-20,9.860000,10.135000,9.851786,10.115357,8.726020,658677600
2010-09-21,10.137857,10.262500,10.099643,10.134643,8.742658,668074400
2010-09-22,10.096786,10.285000,10.086071,10.276786,8.865277,585289600
2010-09-23,10.226071,10.455714,10.214286,10.318571,8.901325,786116800
2010-09-24,10.432143,10.483214,10.376785,10.440000,9.006073,649488000
2010-09-27,10.499286,10.526072,10.393214,10.398571,8.970334,482834800
2010-09-28,10.420357,10.420357,9.821428,10.245000,8.837858,1035042400
2010-09-29,10.258214,10.350357,10.214286,10.263214,8.853574,469644000
