Date,Open,High,Low,Close,Adj Close,Volume
1985-09-04,2.937500,2.960938,2.929688,2.953125,0.182094,4188800
1985-09-05,2.953125,2.992188,2.945313,2.976563,0.183539,6176000
1985-09-06,2.992188,3.000000,2.976563,2.992188,0.184502,6606400
1985-09-09,2.992188,2.992188,2.945313,2.945313,0.181612,3150400
1985-09-10,2.953125,2.960938,2.867188,2.875000,0.177276,2841600
1985-09-11,2.859375,2.898438,2.851563,2.859375,0.176313,4108800
1985-09-12,2.859375,2.890625,2.851563,2.867188,0.176795,2297600
1985-09-13,2.859375,2.867188,2.789063,2.812500,0.173423,7852800
1985-09-16,2.812500,2.812500,2.671875,2.687500,0.165715,13984000
1985-09-17,2.710938,2.757813,2.703125,2.718750,0.167642,9288000
1985-09-18,2.726563,2.750000,2.718750,2.750000,0.169569,7700800
1985-09-19,2.765625,2.859375,2.757813,2.859375,0.176313,7672000
1985-09-20,2.859375,2.867188,2.781250,2.781250,0.171496,4710400
1985-09-23,2.875000,2.882813,2.843750,2.859375,0.176313,8142400
1985-09-24,2.859375,2.875000,2.789063,2.796875,0.172459,6292800
1985-09-25,2.789063,2.796875,2.750000,2.765625,0.170532,2876800
1985-09-26,2.750000,2.789063,2.742188,2.773438,0.171014,5192000
1985-09-30,2.796875,2.796875,2.765625,2.773438,0.171014,3742400
1985-10-01,2.765625,2.812500,2.742188,2.804688,0.172941,5467200
1985-10-02,2.820313,2.835938,2.703125,2.710938,0.167160,9564800
1985-10-03,2.710938,2.781250,2.710938,2.781250,0.171496,6105600
1985-10-04,2.773438,2.781250,2.726563,2.742188,0.169087,7361600
1985-10-07,2.742188,2.742188,2.695313,2.710938,0.167160,6244800
1985-10-08,2.703125,2.734375,2.695313,2.710938,0.167160,2659200
1985-10-09,2.718750,2.757813,2.710938,2.718750,0.167642,5342400
1985-10-10,2.718750,2.734375,2.710938,2.734375,0.168605,1472000
1985-10-11,2.726563,2.789063,2.726563,2.781250,0.171496,3931200
1985-10-14,2.781250,2.828125,2.773438,2.820313,0.173904,2355200
1985-10-15,2.828125,2.851563,2.796875,2.812500,0.173423,5380800
1985-10-16,2.820313,2.859375,2.812500,2.851563,0.175831,7308800
1985-10-17,2.851563,2.929688,2.851563,2.906250,0.179203,10320000
1985-10-18,2.890625,2.914063,2.890625,2.898438,0.178722,5955200
1985-10-21,2.906250,2.906250,2.875000,2.882813,0.177758,2060800
1985-10-22,2.875000,2.898438,2.859375,2.882813,0.177758,2803200
1985-10-23,2.882813,2.882813,2.828125,2.867188,0.176795,3750400
1985-10-24,2.875000,2.914063,2.875000,2.875000,0.177276,10032000
1985-10-25,2.882813,2.921875,2.882813,2.906250,0.179203,4284800
1985-10-28,2.906250,2.921875,2.898438,2.906250,0.179203,2902400
1985-10-29,2.914063,2.945313,2.914063,2.914063,0.179685,7019200
1985-10-30,2.929688,2.984375,2.914063,2.984375,0.184021,10211200
1985-10-31,2.984375,2.984375,2.921875,2.937500,0.181130,6396800
1985-11-01,2.929688,2.984375,2.929688,2.984375,0.184021,7593600
1985-11-04,2.984375,3.000000,2.960938,2.960938,0.182576,6801600
1985-11-05,2.968750,2.984375,2.960938,2.968750,0.183057,14512000
1985-11-06,2.984375,3.023438,2.976563,3.015625,0.185948,16160000
1985-11-07,3.015625,3.015625,2.984375,3.007813,0.185466,8500800
1985-11-08,3.000000,3.039063,2.992188,3.015625,0.185948,5145600
1985-11-11,3.023438,3.062500,3.015625,3.062500,0.188838,8241600
1985-11-12,3.062500,3.117188,3.054688,3.101563,0.191247,18880000
1985-11-13,3.085938,3.109375,3.054688,3.101563,0.191247,12995200
1985-11-14,3.101563,3.140625,3.093750,3.132813,0.193174,12259200
1985-11-15,3.125000,3.132813,3.093750,3.109375,0.191728,12468800
1985-11-18,3.125000,3.140625,3.093750,3.125000,0.215168,11136000
1985-11-19,3.140625,3.148438,3.101563,3.117188,0.214630,4286400
1985-11-20,3.109375,3.125000,3.093750,3.125000,0.215168,6704000
1985-11-21,3.140625,3.164063,3.062500,3.062500,0.210865,14163200
1985-11-22,3.062500,3.062500,2.976563,2.976563,0.204947,30848000
1985-11-25,2.968750,2.976563,2.914063,2.937500,0.202258,11504000
1985-11-26,2.953125,3.023438,2.953125,3.015625,0.207637,8929600
1985-11-27,3.015625,3.132813,3.000000,3.101563,0.213554,9521600
1985-11-29,3.117188,3.125000,3.054688,3.117188,0.214630,3694400
1985-12-02,3.101563,3.109375,3.062500,3.085938,0.212478,4643200
1985-12-03,3.070313,3.093750,3.062500,3.078125,0.211940,2936000
1985-12-04,3.062500,3.078125,3.015625,3.062500,0.210865,15649600
1985-12-05,3.070313,3.148438,3.062500,3.125000,0.215168,24768000
1985-12-06,3.101563,3.117188,3.078125,3.109375,0.214092,5636800
1985-12-09,3.117188,3.164063,3.117188,3.164063,0.217858,8024000
1985-12-10,3.156250,3.187500,3.132813,3.164063,0.217858,9427200
1985-12-11,3.164063,3.195313,3.148438,3.179688,0.218933,9067200
1985-12-12,3.195313,3.273438,3.195313,3.250000,0.223775,12702400
1985-12-13,3.273438,3.382813,3.257813,3.335938,0.229692,13984000
1985-12-16,3.335938,3.437500,3.304688,3.421875,0.235609,9078400
1985-12-17,3.429688,3.453125,3.351563,3.367188,0.231843,9672000
1985-12-18,3.359375,3.367188,3.250000,3.273438,0.225388,9604800
1985-12-19,3.265625,3.335938,3.265625,3.320313,0.228616,5539200
1985-12-20,3.296875,3.367188,3.281250,3.281250,0.225926,9369600
1985-12-23,3.289063,3.296875,3.218750,3.265625,0.224850,4908800
1985-12-24,3.257813,3.281250,3.226563,3.242188,0.223237,3619200
1985-12-26,3.257813,3.281250,3.218750,3.242188,0.223237,2614400
1985-12-27,3.257813,3.281250,3.250000,3.265625,0.224850,3870400
1985-12-30,3.312500,3.312500,3.250000,3.289063,0.226464,4001600
1985-12-31,3.296875,3.304688,3.273438,3.289063,0.226464,2764800
1986-01-02,3.281250,3.281250,3.234375,3.242188,0.223237,3331200
1986-01-03,3.234375,3.250000,3.218750,3.250000,0.223775,4051200
1986-01-06,3.250000,3.257813,3.226563,3.242188,0.223237,2403200
1986-01-07,3.257813,3.304688,3.250000,3.296875,0.227002,7350400
1986-01-08,3.312500,3.312500,3.218750,3.226563,0.222161,6348800
1986-01-09,3.187500,3.226563,3.117188,3.171875,0.218395,12763200
1986-01-10,3.187500,3.210938,3.156250,3.187500,0.219471,5996800
1986-01-13,3.171875,3.226563,3.164063,3.226563,0.222161,4760000
1986-01-14,3.242188,3.242188,3.210938,3.242188,0.223237,3760000
1986-01-15,3.234375,3.234375,3.195313,3.195313,0.220009,6379200
1986-01-16,3.210938,3.218750,3.093750,3.187500,0.219471,8044800
1986-01-17,3.187500,3.210938,3.140625,3.164063,0.217858,8678400
1986-01-20,3.171875,3.226563,3.156250,3.218750,0.221623,6088000
1986-01-21,3.226563,3.250000,3.164063,3.187500,0.219471,3630400
1986-01-22,3.156250,3.179688,3.109375,3.109375,0.214092,3654400
1986-01-23,3.093750,3.156250,3.085938,3.148438,0.216782,4627200
1986-01-24,3.156250,3.164063,3.078125,3.125000,0.215168,9916800
1986-01-27,3.148438,3.156250,3.109375,3.132813,0.215706,5054400
1986-01-28,3.125000,3.250000,3.125000,3.242188,0.223237,5124800
1986-01-29,3.250000,3.304688,3.210938,3.218750,0.221623,7275200
1986-01-30,3.234375,3.328125,3.218750,3.304688,0.227540,7804800
1986-01-31,3.312500,3.375000,3.304688,3.359375,0.231306,5491200
1986-02-03,3.359375,3.406250,3.335938,3.390625,0.233457,7785600
1986-02-04,3.398438,3.406250,3.312500,3.375000,0.232381,5118400
1986-02-05,3.375000,3.429688,3.367188,3.406250,0.234533,6404800
1986-02-06,3.421875,3.437500,3.351563,3.429688,0.236147,7227200
1986-02-07,3.375000,3.398438,3.312500,3.343750,0.230230,13936000
1986-02-10,3.351563,3.359375,3.218750,3.234375,0.222699,6936000
1986-02-11,3.046875,3.187500,3.000000,3.164063,0.217858,67872000
1986-02-12,3.179688,3.203125,3.093750,3.125000,0.215168,25072000
1986-02-13,3.140625,3.289063,3.132813,3.234375,0.222699,32256000
1986-02-14,2.937500,3.062500,2.859375,2.984375,0.205485,144672000
1986-02-18,2.953125,3.093750,2.953125,3.070313,0.211402,76464000
1986-02-19,3.062500,3.062500,2.984375,3.000000,0.206561,34128000
1986-02-20,2.992188,3.078125,2.984375,3.007813,0.207099,17600000
1986-02-21,3.023438,3.078125,3.000000,3.062500,0.210865,35008000
1986-02-24,3.109375,3.125000,3.039063,3.109375,0.239632,17440000
1986-02-25,3.125000,3.125000,3.062500,3.085938,0.237826,14552000
1986-02-26,3.046875,3.054688,2.992188,3.031250,0.233611,19840000
1986-02-27,3.062500,3.109375,3.031250,3.093750,0.238428,19200000
1986-02-28,3.156250,3.156250,3.093750,3.109375,0.239632,24960000
1986-03-03,3.117188,3.117188,3.078125,3.093750,0.238428,9900800
1986-03-04,3.117188,3.132813,3.078125,3.093750,0.238428,14750400
1986-03-05,3.046875,3.085938,3.007813,3.070313,0.236622,12078400
1986-03-06,3.093750,3.101563,3.046875,3.070313,0.236622,9177600
1986-03-07,3.085938,3.117188,3.054688,3.101563,0.239030,16000000
1986-03-10,3.093750,3.156250,3.093750,3.140625,0.242040,12057600
1986-03-11,3.140625,3.250000,3.140625,3.234375,0.249265,14345600
1986-03-12,3.242188,3.265625,3.210938,3.218750,0.248061,11384000
1986-03-13,3.187500,3.312500,3.187500,3.281250,0.252878,14750400
1986-03-14,3.281250,3.375000,3.273438,3.375000,0.260103,18240000
1986-03-17,3.343750,3.375000,3.296875,3.335938,0.257093,8993600
1986-03-18,3.312500,3.343750,3.304688,3.312500,0.255286,9144000
1986-03-19,3.328125,3.343750,3.312500,3.328125,0.256490,8240000
1986-03-20,3.343750,3.375000,3.335938,3.375000,0.260103,9801600
1986-03-21,3.421875,3.468750,3.375000,3.390625,0.261307,35568000
1986-03-24,3.421875,3.453125,3.414063,3.445313,0.265522,11912000
1986-03-25,3.445313,3.507813,3.429688,3.500000,0.269736,20000000
1986-03-26,3.500000,3.562500,3.476563,3.562500,0.274553,12784000
1986-03-27,3.625000,3.656250,3.578125,3.578125,0.275757,15667200
1986-03-31,3.593750,3.617188,3.570313,3.585938,0.276359,9992000
1986-04-01,3.609375,3.632813,3.484375,3.484375,0.268532,11451200
1986-04-02,3.492188,3.531250,3.468750,3.531250,0.272145,10305600
1986-04-03,3.539063,3.539063,3.453125,3.492188,0.269134,8784000
1986-04-04,3.476563,3.492188,3.312500,3.343750,0.257695,11462400
1986-04-07,3.328125,3.390625,3.304688,3.367188,0.259501,7476800
1986-04-08,3.437500,3.507813,3.421875,3.476563,0.267930,12676800
1986-04-09,3.750000,3.750000,3.617188,3.648438,0.281176,36608000
1986-04-10,3.750000,3.875000,3.734375,3.835938,0.295626,37488000
1986-04-11,3.968750,3.968750,3.835938,3.875000,0.298637,27024000
1986-04-14,3.890625,3.898438,3.843750,3.843750,0.296228,10683200
1986-04-15,3.835938,3.835938,3.796875,3.820313,0.294422,10134400
1986-04-16,3.859375,3.937500,3.851563,3.914063,0.301647,17440000
1986-04-17,3.953125,4.085938,3.945313,4.031250,0.310679,19520000
1986-04-18,4.046875,4.156250,4.031250,4.101563,0.316098,19520000
1986-04-21,4.117188,4.171875,4.062500,4.171875,0.321516,8553600
1986-04-22,4.218750,4.273438,4.187500,4.218750,0.325129,9686400
1986-04-23,4.171875,4.187500,4.109375,4.164063,0.320914,11110400
1986-04-24,4.164063,4.304688,4.132813,4.265625,0.328741,15411200
1986-04-25,4.281250,4.335938,4.250000,4.289063,0.330548,8646400
1986-04-28,4.281250,4.296875,4.242188,4.265625,0.328741,7262400
1986-04-29,4.257813,4.265625,4.156250,4.195313,0.323322,9838400
1986-04-30,4.187500,4.218750,4.085938,4.117188,0.317302,7753600
1986-05-01,4.054688,4.093750,4.000000,4.046875,0.311883,15180800
1986-05-02,4.046875,4.093750,4.015625,4.046875,0.311883,9206400
1986-05-05,4.031250,4.117188,4.023438,4.109375,0.316700,7414400
1986-05-06,4.117188,4.117188,4.062500,4.101563,0.316098,6764800
1986-05-07,4.085938,4.093750,4.046875,4.093750,0.315495,8099200
1986-05-08,4.109375,4.117188,4.054688,4.062500,0.313087,5097600
1986-05-09,4.054688,4.093750,4.046875,4.054688,0.312485,6801600
1986-05-12,4.046875,4.085938,4.015625,4.023438,0.310077,5928000
1986-05-13,4.007813,4.046875,4.000000,4.031250,0.310679,6296000
1986-05-14,4.031250,4.171875,4.031250,4.171875,0.321516,8662400
1986-05-15,4.156250,4.171875,4.101563,4.109375,0.316700,6523200
1986-05-16,4.101563,4.140625,4.085938,4.101563,0.316098,8041600
1986-05-19,4.085938,4.125000,4.070313,4.093750,0.315495,4076800
1986-05-20,4.078125,4.148438,4.062500,4.148438,0.319710,4801600
1986-05-21,4.148438,4.273438,4.148438,4.218750,0.325129,10892800
1986-05-22,4.250000,4.351563,4.250000,4.335938,0.334160,9979200
1986-05-23,4.335938,4.367188,4.320313,4.335938,0.363539,7563200
1986-05-27,4.351563,4.390625,4.328125,4.382813,0.367469,6284800
1986-05-28,4.375000,4.406250,4.328125,4.375000,0.366814,12801600
1986-05-29,4.359375,4.390625,4.304688,4.375000,0.366814,6040000
1986-05-30,4.367188,4.367188,4.273438,4.273438,0.358299,4745600
1986-06-02,4.257813,4.257813,4.148438,4.156250,0.348473,4432000
1986-06-03,4.140625,4.187500,4.101563,4.187500,0.351093,8937600
1986-06-04,4.203125,4.273438,4.195313,4.242188,0.355678,9905600
1986-06-05,4.242188,4.343750,4.242188,4.343750,0.364194,7766400
1986-06-06,4.367188,4.460938,4.359375,4.460938,0.374019,11438400
1986-06-09,4.437500,4.437500,4.328125,4.335938,0.363539,7528000
1986-06-10,4.304688,4.328125,4.210938,4.250000,0.356333,8048000
1986-06-11,4.265625,4.273438,4.218750,4.250000,0.356333,5281600
1986-06-12,4.250000,4.296875,4.242188,4.257813,0.356989,5211200
1986-06-13,4.273438,4.414063,4.273438,4.390625,0.368124,6739200
1986-06-16,4.406250,4.414063,4.351563,4.375000,0.366814,4849600
1986-06-17,4.390625,4.406250,4.312500,4.343750,0.364194,4249600
1986-06-18,4.343750,4.375000,4.289063,4.367188,0.366159,5619200
1986-06-19,4.328125,4.359375,4.281250,4.281250,0.358954,5686400
1986-06-20,4.320313,4.421875,4.312500,4.406250,0.369434,9035200
1986-06-23,4.406250,4.492188,4.406250,4.437500,0.372054,6440000
1986-06-24,4.453125,4.523438,4.421875,4.515625,0.378604,8881600
1986-06-25,4.539063,4.578125,4.523438,4.539063,0.380570,8139200
1986-06-26,4.578125,4.578125,4.507813,4.546875,0.381224,7148800
1986-06-27,4.546875,4.562500,4.515625,4.539063,0.380570,3499200
1986-06-30,4.546875,4.609375,4.539063,4.539063,0.380570,4587200
1986-07-01,4.539063,4.539063,4.468750,4.515625,0.378604,5035200
1986-07-02,4.515625,4.554688,4.500000,4.554688,0.381880,8184000
1986-07-03,4.554688,4.554688,4.468750,4.492188,0.376639,2939200
1986-07-07,4.492188,4.492188,4.242188,4.265625,0.357644,7876800
1986-07-08,4.171875,4.195313,4.093750,4.140625,0.347163,11219200
1986-07-09,4.171875,4.210938,4.132813,4.179688,0.350438,8518400
1986-07-10,4.195313,4.203125,4.125000,4.203125,0.352403,8408000
1986-07-11,4.203125,4.203125,4.156250,4.171875,0.349783,5694400
1986-07-14,4.148438,4.156250,4.101563,4.117188,0.345198,6404800
1986-07-15,4.054688,4.156250,4.023438,4.140625,0.347163,14540800
1986-07-16,4.171875,4.171875,4.109375,4.148438,0.347818,8798400
1986-07-17,4.164063,4.203125,4.156250,4.203125,0.352403,8670400
1986-07-18,4.203125,4.265625,4.179688,4.218750,0.353714,16000000
1986-07-21,4.210938,4.218750,4.156250,4.210938,0.353058,6753600
1986-07-22,4.171875,4.320313,4.164063,4.320313,0.362229,7113600
1986-07-23,4.335938,4.453125,4.289063,4.398438,0.368779,9510400
1986-07-24,4.398438,4.398438,4.296875,4.328125,0.362884,5366400
1986-07-25,4.343750,4.375000,4.335938,4.359375,0.365504,7164800
1986-07-28,4.351563,4.351563,4.226563,4.234375,0.355024,6299200
1986-07-29,4.226563,4.242188,4.203125,4.210938,0.353058,5963200
1986-07-30,4.250000,4.312500,4.195313,4.296875,0.360264,10172800
1986-07-31,4.296875,4.296875,4.234375,4.257813,0.356989,3795200
1986-08-01,4.265625,4.281250,4.210938,4.218750,0.353714,3787200
1986-08-04,4.218750,4.296875,4.187500,4.273438,0.358299,6395200
1986-08-05,4.265625,4.265625,4.203125,4.210938,0.353058,6694400
1986-08-06,4.210938,4.234375,4.187500,4.226563,0.354369,6752000
1986-08-07,4.226563,4.265625,4.210938,4.234375,0.355024,6006400
1986-08-08,4.250000,4.281250,4.234375,4.281250,0.358954,3958400
1986-08-11,4.281250,4.335938,4.273438,4.320313,0.362229,8115200
1986-08-12,4.335938,4.343750,4.289063,4.328125,0.362884,7280000
1986-08-13,4.320313,4.437500,4.304688,4.429688,0.371399,16480000
1986-08-14,4.445313,4.562500,4.445313,4.531250,0.379914,13512000
1986-08-15,4.546875,4.546875,4.476563,4.546875,0.381224,8240000
1986-08-18,4.500000,4.539063,4.484375,4.500000,0.408798,6712000
1986-08-19,4.500000,4.500000,4.406250,4.429688,0.402410,4032000
1986-08-20,4.453125,4.640625,4.445313,4.593750,0.417315,11083200
1986-08-21,4.609375,4.617188,4.570313,4.593750,0.417315,7865600
1986-08-22,4.593750,4.656250,4.578125,4.593750,0.417315,4235200
1986-08-25,4.593750,4.601563,4.515625,4.531250,0.411637,4179200
1986-08-26,4.523438,4.601563,4.468750,4.585938,0.416605,6196800
1986-08-27,4.570313,4.593750,4.539063,4.562500,0.414475,3547200
1986-08-28,4.531250,4.593750,4.531250,4.570313,0.415185,3806400
1986-08-29,4.562500,4.640625,4.562500,4.617188,0.419444,5217600
1986-09-02,4.593750,4.617188,4.414063,4.437500,0.403120,7772800
1986-09-03,4.406250,4.460938,4.390625,4.445313,0.403830,7454400
1986-09-04,4.476563,4.484375,4.351563,4.406250,0.400281,11299200
1986-09-05,4.390625,4.390625,4.273438,4.328125,0.393184,8420800
1986-09-08,4.304688,4.335938,4.203125,4.257813,0.386797,9945600
1986-09-09,4.257813,4.312500,4.187500,4.203125,0.381829,10481600
