ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
974,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2
4234,2,2,3,2,1,2,1,1,2,1,2,2,2,2,2
4673,1,1,3,1,1,2,2,2,1,1,2,2,2,2,2
4992,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2
5349,1,2,2,2,1,2,3,1,2,1,4,2,2,2,2
10919,2,3,3,2,2,2,2,3,4,4,3,3,2,2,2
11003,2,4,3,2,2,2,2,2,2,2,2,3,2,2,2
11662,2,1,4,2,2,2,3,2,2,2,3,3,2,2,2
14249,3,3,4,3,4,3,4,2,1,1,2,2,4,2,1
14402,2,2,2,3,2,2,2,2,1,2,3,2,2,2,3
16209,2,1,1,1,1,2,2,2,3,2,2,2,2,2,2
16359,4,4,2,4,3,2,2,3,2,4,2,2,2,3,3
18874,1,2,2,2,1,2,2,1,1,1,4,2,2,1,2
20744,3,2,3,2,2,2,2,3,4,4,4,4,2,2,2
21007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21740,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2
28498,3,3,2,2,2,3,2,2,1,2,2,2,2,3,2
31078,2,3,2,2,3,3,3,2,2,3,3,3,2,2,3
1318,4,4,4,4,4,4,1,1,1,1,1,2,1,1,1
2213,2,2,2,2,1,2,3,1,1,2,3,4,2,2,2
2249,2,2,2,2,2,2,4,2,1,1,2,2,2,2,3
2356,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
3328,4,3,3,2,1,2,3,1,1,1,2,4,1,1,1
4539,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2
4890,2,1,2,1,2,3,2,2,1,4,2,1,1,2,2
5061,4,2,2,2,2,4,3,4,4,2,3,2,3,4,2
5111,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2
5139,2,3,2,2,2,2,2,3,2,1,2,3,2,2,1
5156,2,2,3,3,1,2,2,1,3,2,2,3,2,1,2
5177,1,2,1,1,1,2,2,1,1,1,2,2,1,2,3
5692,3,2,2,1,2,2,2,4,3,2,3,3,2,4,2
5885,2,1,1,1,1,1,1,1,2,1,2,4,1,1,2
5978,2,3,2,3,3,4,2,2,4,2,4,4,3,2,4
6077,4,4,4,3,2,3,4,4,4,4,3,4,3,4,3
6117,2,1,1,1,1,1,2,2,2,3,2,2,1,1,1
7495,2,2,2,2,1,2,2,1,1,1,1,3,2,1,2
7578,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1
8581,3,2,2,3,2,2,4,3,2,4,3,4,2,2,2
8633,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1
9088,2,2,2,2,1,2,2,2,2,1,3,2,2,1,3
9345,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2
9454,2,1,2,2,1,2,1,1,2,3,2,3,3,1,2
9556,1,2,1,1,1,1,2,1,1,2,2,2,1,1,2
10517,2,4,1,2,1,1,3,2,2,2,2,3,2,2,2
10578,2,1,2,1,1,2,2,2,2,2,3,3,2,3,2
10818,2,3,2,2,2,2,2,3,3,2,3,3,2,2,2
10852,3,2,2,2,2,3,4,1,1,2,2,2,2,2,2
11217,2,2,2,1,1,1,1,1,1,2,2,4,2,1,1
11295,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1
11413,2,3,2,2,2,2,3,2,2,3,2,3,2,2,2
11667,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1
11838,1,1,1,1,2,2,1,3,2,2,2,4,2,2,2
12353,4,4,4, ,1,2,1,1,1,1,1,1,1,1,2
13476,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
13641,3,2,2,2,4,3,3,2,2,1,3,3,4,2,3
13948,3,3,2,3,2,3,2,4,3,2,2,3,2,4,3
14065,2,2,2,2,2,2,3,3,1,1,2,2,2,3,2
14080,3,2,3,3,2,3,2,2,2,2,2,3,2,2,2
14263,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2
14277,2,1,1, ,1,2,2,1,1,2,2,4,2,2,4
14550,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2
15025,3,2,2,2,2,2,2,3,2,3,2,3,2,2,2
15819,2,1,2,3,2,2,1,2,2,1,2,2,2,2,2
16042,2,2,3,2,2,2,2,3,2,2,4,3,2,2,2
16047,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2
16050,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2
16148,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
16428,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
16777,4,4,3,2,3,3,3,4,4,4,4,4,3,4,3
17355,2,3,3,3,2,3,2,2,4,2,2,2,3,2,2
17356,3,3,2,3,3,3,3,4,4,4,3,4,2,4,2
17452,2,1,1,2,2,2,2,2,3,2,2,2,2,2,2
17482,2,1,1,1,2,1,2,2,2,3,3,1,1,1,2
17691,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1
18488,2,1,2,1,1,1,2,2,2,1,2,2,2,1,3
18558,2,3,3,2,2,2,4,3,3,2,3,2,2,2,3
19165,2,2,2,3,2,2,2,1,1,2,2,2,2,1,2
19430,3,1,2,3,1,2,4,2,2,2,1,3,1,3,4
19489,1,2,1,1,1,2,1,3,3,3,3,2,2,2,2
19514,3,3,2,2,2,3,3,3,3,3,2,2,2,2,3
19563,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2
19583,2,3,2,2,2,2,2,3,2,2,2,2,2,3,3
19670,3,2,2,2,1,2,2,3,2,2,2,2,2,2,3
20180,3,2,3,2,2,2,4,2,3,2,3,4,2,2,3
20218,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20350,3,3,3,2,2,3,2,3,2,2,3,4,3,2,3
20389,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2
20406,4,2,2,3,3,4,2,3,4,3,4,3,4,4,4
20542,3,2,2,1,2,2,2,3,2,4,4,3,2,2,2
20587,2,2,2,2,2,1,2,2,3,2,3,3,2,2,2
20700,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1
20710,2,2,2,2,2,3,5,2,2,2,2,3,2,2,2
20778,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20792,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2
20804,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
20884,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
20895,3,1,1,1,2,2,2,2,2,2,2,2,4,2,2
20917,4,3,2,1,1,3,3,4,4,4,4,4,4,4,3
20944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20965,2,2,2,2,1,2,2,3,3,3,3,3,2,3,2
21003,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
21049,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2
21172,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2
21261,2,1,1,3,2,2,1,2,1,1,4,2,2,2,2
21343,2,2,2,2,1,2,2,1,1,1,2,3,2,2,2
22506,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2
22511,3,3,2,2,2,4,5,2,2,2,3,2,2,2,4
22912,2,3,3,3,2,2,4,3,3,3,2,3,2,2,2
22923,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2
23815,3,2,3,3,2,2,1,3,3,2,4,4,3,2,2
24993,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2
25590,2,2,2,2,1,2,3,1,2,2,2,3,2,1,2
26094,2,2,2,1,2,2,2,3,4,2,3,3,2,2,2
26324,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1
26559,2,2,2,2,2,2,2,2,3,2,4,4,2,2,2
27401,3,2,2,2,2,2,2,2,2,2,4,4,2,2,2
