Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,5.158000,6.084000,4.660000,4.766000,4.766000,85935500
2010-07-01,5.000000,5.184000,4.054000,4.392000,4.392000,41094000
2010-07-02,4.600000,4.620000,3.742000,3.840000,3.840000,25699000
2010-07-06,4.000000,4.000000,3.166000,3.222000,3.222000,34334500
2010-07-07,3.280000,3.326000,2.996000,3.160000,3.160000,34608500
2010-07-08,3.228000,3.504000,3.114000,3.492000,3.492000,38557000
2010-07-09,3.516000,3.580000,3.310000,3.480000,3.480000,20253000
2010-07-12,3.590000,3.614000,3.400000,3.410000,3.410000,11012500
2010-07-13,3.478000,3.728000,3.380000,3.628000,3.628000,13400500
2010-07-14,3.588000,4.030000,3.552000,3.968000,3.968000,20976000
2010-07-15,3.988000,4.300000,3.800000,3.978000,3.978000,18699000
2010-07-16,4.140000,4.260000,4.010000,4.128000,4.128000,13106500
2010-07-19,4.274000,4.450000,4.184000,4.382000,4.382000,12432500
2010-07-20,4.370000,4.370000,4.010000,4.060000,4.060000,9126500
2010-07-21,4.132000,4.180000,3.900000,4.044000,4.044000,6262500
2010-07-22,4.100000,4.250000,4.074000,4.200000,4.200000,4789000
2010-07-23,4.238000,4.312000,4.212000,4.258000,4.258000,3268000
2010-07-26,4.300000,4.300000,4.060000,4.190000,4.190000,4611000
2010-07-27,4.182000,4.236000,4.052000,4.110000,4.110000,3098500
2010-07-28,4.110000,4.180000,4.102000,4.144000,4.144000,2336000
2010-07-29,4.154000,4.176000,4.000000,4.070000,4.070000,3080000
2010-07-30,4.040000,4.088000,3.910000,3.988000,3.988000,2134500
2010-08-02,4.100000,4.194000,4.066000,4.184000,4.184000,3590500
2010-08-03,4.200000,4.390000,4.164000,4.390000,4.390000,6152500
2010-08-04,4.390000,4.436000,4.170000,4.252000,4.252000,4565000
2010-08-05,4.308000,4.310000,4.010000,4.090000,4.090000,3981000
2010-08-06,4.020000,4.032000,3.904000,3.918000,3.918000,3709500
2010-08-09,3.980000,3.996000,3.890000,3.920000,3.920000,4063500
2010-08-10,3.930000,3.930000,3.764000,3.806000,3.806000,6406500
